EmployeeID;FirstName;LastName;AddressLine;City;CountryCode;BirthDate;Salary
E-274;Stephen;Jiang;2427 Notre Dame Ave.;Redmond;US;15/01/1980;$92,000
E-275;Michael;Blythe;8154 Via Mexico;Detroit;US;17/02/1994;$68,500
E-276;Linda;Mitchell;2487 Riverside Drive;Nevada;US;17/12/1979;$102,800
E-277;Jillian;Carson;80 Sunview Terrace;Duluth;US;20/02/1994;$117,800
E-278;Garrett;Vargas;10203 Acorn Avenue;Calgary;CA;10/10/1992;$80,400
E-279;Tsvi;Reiter;8291 Crossbow Way;Memphis;US;29/03/1990;$75,000
E-280;Pamela;Ansman-Wolfe;636 Vine Hill Way;Portland;US;24/06/1973;$87,500
E-281;Shu;Ito;5725 Glaze Drive;San Francisco;US;18/01/1987;$79,000
E-282;José;Saraiva;9100 Sheppard Avenue North;Ottawa;CA;03/12/1989;$84,200
E-283;David;Campbell;2284 Azalea Avenue;Bellevue;US;07/08/1993;$98,300
E-284;Tete;Mensa-Annan;3997 Via De Luna;Cambridge;US;02/01/1969;$81,000
E-285;Syed;Abbas;7484 Roundtree Drive;Bothell;US;14/07/1960;$45,000
E-286;Lynn;Tsoflias;34 Waterloo Road;Melbourne;AU;23/09/1982;$93,000
E-287;Amy;Alberts;5009 Orange Street;Renton;US;23/01/1990;$72,000
E-288;Rachel;Valdez;Pascalstr 951;Berlin;DE;36/03/1978;$79,800
E-289;Jae;Pak;Downshire Way;Cambridge;GB;14/12/1987;$95,800
E-290;Hélène;Dupont;94, rue Descartes;Bordeaux;FR;02/11/1992;$95,000
