OrderNumber;OrderDate;ShipDate;EmployeeIdentifier;EmployeeFirstName;EmployeeLastName;CustomerAccountNumber;CustomerFirstName;CustomerLastName;CustomerAddr;CustomerCity;CustomerCountry;SaleAmount;SaleCost
O-1001;01/05/2018;03/05/2018;E-282;José;Saraiva;C-29614;Ryan;Calafato;254480 River Rd;Richmond;CA;35944,1562;29794,11
O-1002;01/05/2018;03/05/2018;E-275;Michael;Blythe;C-29491;Carla;Adams;Leesburg Premium Outlet Centre;Leesburg;US;20541,4072;14395,42
O-1003;02/05/2018;02/05/2018;E-283;David;Campbell;C-29497;François;Ferrier;Eastridge Mall;Casper;US;42813,4333;25829,34
O-1004;02/05/2018;04/05/2018;E-282;José;Saraiva;C-29596;Eric;Brumfield;600 Slater Street;Ottawa;CA;2624,382;1495,11
O-1005;04/05/2018;08/05/2018;E-281;Shu;Ito;C-29489;Frances;Adams;6900 Sisk Road;Modesto;US;11397,4992;7785,63
O-1007;07/05/2018;09/05/2018;E-282;José;Saraiva;C-30067;Phyllis;Thomas;99, Rue Saint-pierre;Pnot-Rouge;CA;6124,182;2850,19
O-1008;08/05/2018;11/05/2018;E-277;Jillian;Carson;C-29646;Stacey;Cereghino;220 Mercy Drive;Garland;US;33997,3702;20605,81
O-1009;10/05/2018;17/05/2018;E-283;David;Campbell;C-29890;Peggy;Justice;15 East Main;Port Orchard;US;8128,7876;4917,92
O-1010;13/05/2018;17/05/2018;E-275;Michael;Blythe;C-29718;John;Donovan;42522 Northrupp;Fort Wayne;US;12718,0844;8179
O-1011;14/05/2018;16/05/2018;E-281;Shu;Ito;C-29992;Sandra;Maynard;9952 E. Lohman Ave.;Las Cruces;US;38510,8973;24423,61
O-1012;14/05/2018;18/05/2018;E-275;Michael;Blythe;C-29844;Nancy;Hirota;Stateline Plaza;Plaistow;US;3746,2015;2028,57
O-1013;14/05/2018;17/05/2018;E-283;David;Campbell;C-29606;Karren;Burkhardt;2502 Evergreen Ste E;Everett;US;3463,2998;1872,26
O-1014;15/05/2018;19/05/2018;E-283;David;Campbell;C-29747;Carolyn;Farino;3250 South Meridian;Puyallup;US;714,7043;583,2
O-1015;15/05/2018;19/05/2018;E-277;Jillian;Carson;C-29827;Valerie;Hendricks;Kansas City Factory Outlet;Odessa;US;5716,3102;4654,79
O-1016;15/05/2018;19/05/2018;E-278;Garrett;Vargas;C-29761;Susan;French;69251 Creditview Road;Mississauga;CA;1316,0575;729,89
O-1017;18/05/2018;22/05/2018;E-275;Michael;Blythe;C-29811;Mark;Hanson;9920 Picketts Line Road;Newport News;US;14203,458;10161,16
O-1018;18/05/2018;20/05/2018;E-277;Jillian;Carson;C-29974;Scott;MacDonald;St. Louis Marketplace;Saint Louis;US;6107,082;3998,92
O-1019;20/05/2018;28/05/2018;E-279;Tsvi;Reiter;C-29912;Russell;King;Bay Area Outlet Mall;Clearwater;US;5596,4705;4910,9
O-1020;20/05/2018;22/05/2018;E-276;Linda;Mitchell;C-30052;Abraham;Swearengin;9920 Bridgepointe Parkway;San Mateo;US;5056,4896;3344,36
O-1021;21/05/2018;23/05/2018;E-275;Michael;Blythe;C-29610;Deanna;Buskirk;25264 E. 260th;Euclid;US;1258,3767;975,87
O-1022;22/05/2018;24/05/2018;E-279;Tsvi;Reiter;C-30084;Abe;Tramel;Silver Sands Factory Outlet;Destin;US;2736,5678;2297,08
O-1023;22/05/2018;25/05/2018;E-278;Garrett;Vargas;C-29824;Brenda;Heaney;990th Floor 700 De La GauchetiSre Ou;Montreal;CA;7793,1108;4255,82
O-1024;23/05/2018;27/05/2018;E-279;Tsvi;Reiter;C-29958;Run;Liu;100 Fifth Drive;Millington;US;39373,781;33302,34
O-1025;24/05/2018;04/06/2018;E-276;Linda;Mitchell;C-29565;Jimmy;Bischoff;3065 Santa Margarita Parkway;Trabuco Canyon;US;419,4589;298,57
O-1026;24/05/2018;27/05/2018;E-279;Tsvi;Reiter;C-29661;Charles;Christensen;Edgewater Mall;Biloxi;US;13787,5434;11320,95
O-1027;26/05/2018;29/05/2018;E-275;Michael;Blythe;C-29566;Mae;Black;Redford Plaza;Redford;US;6122,082;3986,7
O-1028;26/05/2018;30/05/2018;E-283;David;Campbell;C-29580;Richard;Bready;4251 First Avenue;Seattle;US;14352,7713;11512,36
